City,Colors Reported,Shape Reported,State,Time
Newark,,SPHERE,NJ,1950-07-15 21:30:00
Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00
Smithport,,DISK,PA,1950-07-20 21:30:00
Louisville,,OTHER,KY,1950-01-08 04:00:00
Stanfield,,DISK,OR,1950-08-15 14:00:00
Pikeville,,DISK,KY,1950-01-10 11:00:00
Sandy Hook,,TRIANGLE,NJ,1950-10-15 15:00:00
Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00
Palm Springs,,CIGAR,CA,1951-01-20 04:30:00
Thompsonville,,DISK,CT,1951-03-02 22:00:00
Los Angeles,,DISK,CA,1951-02-15 11:00:00
Irving,BLUE,DISK,KS,1951-04-15 00:30:00
Fort Sill,,OVAL,OK,1951-05-15 03:00:00
Oklahoma,,CIGAR,OK,1951-01-06 19:00:00
Jasper,,OVAL,NC,1951-03-06 13:00:00
Mount Pinos,,DISK,CA,1951-06-06 02:00:00
Greenville,GREEN,DISK,MS,1951-06-15 20:30:00
Jackson Heights,,DISK,NY,1951-06-30 07:00:00
Birmingham,,,AL,1951-06-30 19:00:00
Otis Orchards,,DISK,WA,1951-01-07 03:00:00
Atlanta,,,GA,1951-01-07 14:00:00
Calaveras County,,DISK,CA,1951-03-07 03:00:00
Green River,GREEN,SPHERE,WY,1951-03-07 12:00:00
Provo,BLUE,DISK,UT,1951-10-07 23:30:00
Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00
Sunland,,CIRCLE,CA,1951-10-08 01:00:00
Altoona,,DISK,PA,1951-08-15 13:00:00
Jacksonville,,DISK,FL,1951-10-15 20:00:00
Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00
Salt Lake City,,,UT,1952-01-01 00:00:00
Binghamton,,DISK,NY,1952-10-02 21:00:00
Nellis AFB,,DISK,NV,1952-02-17 18:00:00
Chicago,,DISK,IL,1952-04-15 13:00:00
Greenville,ORANGE,TRIANGLE,TX,1952-04-15 16:00:00
Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00
Allyn,,DISK,WA,1952-05-15 20:00:00
Dousman,,,WI,1952-01-06 11:00:00
Norfolk,RED,FIREBALL,VA,1952-01-06 22:00:00
Evergreen,,DISK,CO,1952-06-06 13:00:00
Chicago,,CIRCLE,IL,1952-10-06 12:00:00
Fortville,,DISK,IN,1952-06-13 07:30:00
Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00
Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00
Jacksonville,,TRIANGLE,FL,1952-06-15 21:00:00
Maywood,,CIRCLE,CA,1952-06-15 23:00:00
Lansing,,OTHER,MI,1952-06-21 22:00:00
Chester,,OVAL,PA,1952-06-22 17:45:00
Cheyenne,,DISK,WY,1952-06-30 00:00:00
Pecos,,DISK,TX,1952-06-30 03:00:00
Barksdale AFB,,,LA,1952-06-30 06:00:00
Miami,,LIGHT,FL,1952-06-30 09:00:00
New York City,,DISK,NY,1952-06-30 13:00:00
Auburn,,OVAL,WA,1952-06-30 18:30:00
Miami,,DISK,FL,1952-06-30 21:00:00
Miami,,DISK,FL,1952-06-30 21:00:00
Miami,,LIGHT,FL,1952-06-30 21:00:00
Sebeka,,OTHER,MN,1952-01-07 15:00:00
Detroit,,SPHERE,MI,1952-01-07 22:00:00
Tacoma,,SPHERE,WA,1952-05-07 16:00:00
Evergreen,,CIRCLE,CO,1952-07-07 10:00:00
Arlington,,DISK,TX,1952-07-07 13:00:00
Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00
Wilmington,,DISK,CA,1952-07-15 12:00:00
,,DISK,CA,1952-07-15 12:30:00
Litchfield,,OTHER,PA,1952-07-15 13:00:00
South Gate,,CIRCLE,CA,1952-07-15 14:00:00
North Bend,,OTHER,WA,1952-07-15 18:30:00
New York City,,OTHER,NY,1952-07-15 19:00:00
Okolona,,OVAL,MS,1952-07-22 09:30:00
Tacoma,,SPHERE,WA,1952-07-25 16:00:00
Manville,,SPHERE,RI,1952-07-30 15:00:00
Tampa,,OVAL,FL,1952-01-08 21:30:00
Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00
Prairie Grove,,DISK,AR,1952-08-15 17:30:00
Hamilton,,LIGHT,OH,1952-08-15 22:15:00
Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00
Norridgewock,,DISK,ME,1952-09-15 14:00:00
Kansas City,,DISK,MO,1952-01-10 12:00:00
Richland,,CIRCLE,WA,1952-10-15 21:00:00
Chicago,,OTHER,IL,1952-06-12 19:00:00
Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00
Nebraska,,,NE,1953-01-01 00:00:00
Oklahoma,,CIGAR,TX,1953-01-01 14:00:00
Palm Springs,,,CA,1953-03-15 00:00:00
Haverhill,,CHEVRON,MA,1953-01-04 15:00:00
Cambridge,RED,SPHERE,MA,1953-01-04 18:00:00
Chariton,,OTHER,IA,1953-10-04 13:00:00
Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00
Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00
Jamison,,CIGAR,PA,1953-04-30 16:00:00
Kingman,,,AZ,1953-05-20 08:00:00
Fresno,,,CA,1953-01-06 21:00:00
Roswell,,,NM,1953-06-15 00:00:00
Wenatchee,,DISK,WA,1953-06-15 12:00:00
Fort Worth,,SPHERE,TX,1953-06-15 13:00:00
North Bend,,CIRCLE,WA,1953-06-15 18:00:00
Galveston,,CIGAR,TX,1953-06-17 07:30:00
Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00
Kelso,,OVAL,WA,1953-06-30 15:00:00
Colorado Springs,,DISK,CO,1953-01-07 05:30:00
,BLUE,DISK,MT,1953-04-07 14:00:00
Ogallala,,OTHER,NE,1953-04-07 21:00:00
Nashville,,CYLINDER,TN,1953-07-15 13:00:00
Dublin,,CONE,IN,1953-07-17 22:00:00
Berkeley,,FIREBALL,MO,1953-01-08 12:00:00
"San Bernadino Mtns, Church Camp",,DISK,CA,1953-01-08 14:00:00
Vallejo,,LIGHT,CA,1953-07-08 21:00:00
Louisville,,CIRCLE,KY,1953-08-15 11:00:00
Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00
Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00
Homer,,,PA,1953-09-15 14:00:00
Mauriceville,,DISK,TX,1953-10-15 14:00:00
New Orleans,,OVAL,LA,1953-10-31 19:00:00
Cicero,,OTHER,IL,1953-11-13 20:00:00
Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00
Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00
Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00
Brunswick,,,ME,1954-01-01 00:00:00
Lakeland,,DISK,FL,1954-01-01 01:00:00
Souix City,,CIRCLE,IA,1954-01-01 22:00:00
Santa Monica,,LIGHT,CT,1954-01-15 20:00:00
Fairbanks,,,AK,1954-01-02 02:00:00
Burney,,DISK,CA,1954-02-15 19:30:00
Stanford Campus,,DISK,CA,1954-01-04 22:00:00
Corvallis,,DIAMOND,OR,1954-05-15 12:00:00
Quincy,,DISK,IL,1954-05-26 04:30:00
Houston,,DISK,TX,1954-01-06 00:00:00
Ovid,,DISK,NY,1954-01-06 06:00:00
Springfield,,CYLINDER,IL,1954-01-06 08:00:00
El Cerrito,,LIGHT,CA,1954-01-06 19:00:00
Toledo,,DISK,OH,1954-01-06 19:00:00
Norfolk,,DISK,VA,1954-01-06 20:00:00
Philadelphia,,DISK,PA,1954-01-06 20:00:00
Fish Canyon,,LIGHT,CA,1954-01-06 23:00:00
Atlanta,,DISK,GA,1954-06-06 10:00:00
Estes Park,,CIGAR,CO,1954-10-06 20:00:00
Glenburn,,,ME,1954-11-06 02:00:00
Palm Beach,,LIGHT,CA,1954-06-15 11:00:00
Claymont,,DISK,DE,1954-06-15 11:45:00
Ellington AFB,,DISK,TX,1954-06-15 16:30:00
Lorton,,OTHER,VA,1954-06-23 02:00:00
Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00
Thrifty,,CIRCLE,TX,1954-06-25 03:30:00
Marion,,CIRCLE,VA,1954-06-30 00:00:00
Methuen,,,MA,1954-06-30 00:00:00
Hawthorne,,LIGHT,CA,1954-06-30 12:00:00
Pasadena,,CIRCLE,CA,1954-06-30 15:00:00
St. Louis Airport,RED,OVAL,MO,1954-01-07 21:00:00
Los Angeles,RED,CIRCLE,CA,1954-01-07 22:00:00
Walnut Creek,,,CA,1954-07-07 20:00:00
West Columbia,,FORMATION,SC,1954-07-07 22:00:00
Morroco,,VARIOUS,IN,1954-12-07 17:30:00
Philadelphia,,DISK,PA,1954-07-15 11:00:00
Greenfield,,CIGAR,IN,1954-07-15 14:00:00
Kansas City,,CHEVRON,KS,1954-07-15 21:00:00
Oakdale,,DISK,NY,1954-07-15 21:00:00
Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00
Farmingdale,,OVAL,NY,1954-01-08 12:00:00
Dyer,,TRIANGLE,IN,1954-01-08 17:00:00
Canton,,DISK,PA,1954-01-08 21:00:00
North Hollywood,,LIGHT,CA,1954-01-08 22:00:00
Puyallup,,OVAL,WA,1954-08-15 21:00:00
Geneva,,DISK,NY,1954-01-09 13:00:00
Beaumont,RED,DISK,TX,1954-09-09 12:30:00
Palmer Township,,OTHER,PA,1954-09-15 09:30:00
Flatwoods,,CIRCLE,WV,1954-01-10 19:00:00
Blanco,,OTHER,TX,1954-10-15 16:30:00
Manistee,,CIRCLE,MI,1954-10-15 21:30:00
Denver,,FIREBALL,CO,1954-01-11 18:30:00
Thelma,,DISK,TX,1954-11-14 01:00:00
Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00
Yucaipa,,OVAL,CA,1954-12-16 16:50:00
New York City,,LIGHT,NY,1955-02-15 19:00:00
Holbrook,YELLOW,EGG,MA,1955-01-05 15:00:00
Warrington,,FIREBALL,FL,1955-05-15 03:00:00
Homaland,,CIRCLE,CA,1955-01-06 00:00:00
Bagley,,CIRCLE,MN,1955-01-06 02:00:00
Cincinnati,,DISK,OH,1955-01-06 15:29:00
Martinez,,CIRCLE,CA,1955-01-06 17:00:00
Clinton,,EGG,TN,1955-01-06 20:30:00
Pensacola,,LIGHT,FL,1955-06-06 01:00:00
South St. Paul,,DISK,MN,1955-06-15 00:00:00
Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00
Missouri,,LIGHT,MO,1955-06-15 04:30:00
Youngstown,,,PA,1955-06-15 08:00:00
Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00
Rantoul,,LIGHT,IL,1955-06-17 07:00:00
Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00
Quartz Hill,,DISK,CA,1955-06-30 00:00:00
Lubbock,,CIGAR,TX,1955-06-30 13:00:00
Dumas,,LIGHT,TX,1955-06-30 21:00:00
Morehead City,,DISK,NC,1955-06-30 21:00:00
Carnation,,DISK,WA,1955-01-07 14:00:00
Dierks,,CIGAR,AR,1955-01-07 22:00:00
Woodland Park,,OVAL,CO,1955-07-15 14:00:00
Ringold,,LIGHT,LA,1955-07-15 22:00:00
Newtown Square,,CIRCLE,PA,1955-06-08 19:00:00
Independence,,FIREBALL,MO,1955-08-08 01:00:00
Madisonville,,LIGHT,KY,1955-08-14 01:00:00
Eagle Pass,,CIGAR,TX,1955-08-15 00:01:00
Covina,,DISK,CA,1955-08-17 21:00:00
Bullhead,,DISK,AZ,1955-10-09 23:00:00
Mono Lake,,CIRCLE,CA,1955-01-10 22:00:00
West Covina,GREEN,,CA,1955-09-10 18:00:00
Rhinebeck,,LIGHT,NY,1955-10-15 20:00:00
Weirton,,DISK,WV,1956-01-01 05:30:00
Petaluma,,OVAL,CA,1956-01-03 13:00:00
Bowie,,DISK,MD,1956-03-20 20:00:00
Hampton,,SPHERE,MN,1956-03-22 17:30:00
Canton,,CIGAR,OH,1956-01-05 12:00:00
Pine castle AFB,,LIGHT,FL,1956-05-15 20:00:00
Ada,,CIRCLE,OK,1956-05-17 10:22:00
Belton,,OTHER,MO,1956-01-06 19:00:00
Memphis,ORANGE,CYLINDER,TN,1956-01-06 20:00:00
Elmore,,SPHERE,AL,1956-05-06 00:00:00
Salt Lake City,,CIRCLE,UT,1956-05-06 00:00:00
Upper Glade,,EGG,WV,1956-06-06 12:00:00
Akron,,OTHER,OH,1956-06-06 22:00:00
Edroy,,,TX,1956-06-15 01:00:00
San Francisco,,OTHER,CA,1956-06-15 12:15:00
Palo Alto,,FIREBALL,CA,1956-06-15 18:00:00
Richfield Springs,,CIGAR,NY,1956-06-15 18:00:00
Vista,ORANGE,CIGAR,CA,1956-06-15 19:15:00
Farragut,,CIGAR,TN,1956-06-15 20:00:00
Tulsa,,FLASH,OK,1956-06-15 20:00:00
Salem,,DISK,NJ,1956-06-15 20:32:00
New York City,,LIGHT,NY,1956-06-15 21:00:00
Cincinnati,,DISK,OH,1956-06-16 13:00:00
Madera,,SPHERE,CA,1956-06-24 14:00:00
Willow Grove,,LIGHT,PA,1956-06-30 01:00:00
Cape Girardeau,,DIAMOND,MO,1956-06-30 13:00:00
New Brunswick,,DISK,NJ,1956-06-30 16:00:00
Houston,,TRIANGLE,TX,1956-06-30 18:30:00
Beatrice,,OTHER,NE,1956-01-07 16:00:00
Wichita,,,KS,1956-12-07 19:00:00
Sacramento,,DISK,CA,1956-07-14 19:30:00
East Hampton,,DISK,CT,1956-07-15 00:00:00
Yellowstone Park,,DISK,WY,1956-07-15 00:00:00
Sugarcreek,,DISK,OH,1956-07-15 05:00:00
Harvard,,,MA,1956-01-08 20:00:00
Bradford,YELLOW,SPHERE,AL,1956-01-08 23:30:00
Norfolk,,CIGAR,VA,1956-09-09 05:55:00
Middle River,BLUE,CIRCLE,MD,1956-09-15 20:00:00
Hope,,CIRCLE,AR,1956-09-20 16:00:00
Greenwich,,LIGHT,CT,1956-09-21 00:00:00
Newport,,RECTANGLE,NH,1956-01-10 19:00:00
Edna,,CIRCLE,TX,1956-10-10 21:00:00
Mt. Vernon,,DISK,IN,1956-10-15 21:30:00
Aberdeen,ORANGE,CIRCLE,SD,1956-11-15 18:30:00
Painsville,,RECTANGLE,OH,1956-11-27 22:00:00
Columbus,,FORMATION,OH,1956-01-12 23:00:00
Dallas,,,TX,1957-01-01 21:00:00
Jena,,SPHERE,LA,1957-05-03 19:30:00
Fort Devans,,OVAL,MA,1957-07-03 04:00:00
Los Angeles,,FORMATION,CA,1957-03-15 13:00:00
Los Angeles,,DISK,CA,1957-03-15 15:00:00
Canton,,CIGAR,OH,1957-01-05 12:00:00
Rhinebeck,,DIAMOND,NY,1957-05-25 13:00:00
Union Bower are irving,,FORMATION,TX,1957-01-06 00:00:00
El Paso,,DISK,TX,1957-01-06 10:00:00
E. Los Angeles,,LIGHT,CA,1957-01-06 12:00:00
Glens Falls,,DISK,NY,1957-01-06 20:00:00
Irving,,LIGHT,TX,1957-01-06 22:00:00
Hicksville,,CIRCLE,NY,1957-06-06 22:00:00
Green Lake,,OVAL,MI,1957-12-06 19:00:00
Livermore Falls,,DIAMOND,ME,1957-06-14 10:00:00
Great Falls,,,MT,1957-06-15 00:00:00
Hartford City,,DISK,IN,1957-06-15 13:00:00
Walled Lake,,CYLINDER,MI,1957-06-15 23:30:00
San Leandro,,LIGHT,CA,1957-06-19 21:00:00
Lubbock,,TRIANGLE,TX,1957-06-21 17:00:00
Norwalk,,DISK,CA,1957-06-21 19:30:00
Arctic,,CIGAR,AK,1957-06-30 00:00:00
Dallas,,OTHER,TX,1957-06-30 00:00:00
Birmingham,,,MI,1957-06-30 03:30:00
New York City,,TEARDROP,NY,1957-06-30 12:00:00
Burlington,,CIRCLE,IA,1957-06-30 13:00:00
Russellville,ORANGE,SPHERE,AR,1957-06-30 18:00:00
Barker,,DISK,NY,1957-06-30 20:00:00
Albany,,CIRCLE,CA,1957-06-30 21:00:00
Mullens,,OVAL,WV,1957-01-07 13:00:00
Talcott,,SPHERE,WV,1957-01-07 13:00:00
Del Rio,,CIGAR,TX,1957-01-07 20:00:00
Phillipsburg,,CIGAR,NJ,1957-10-07 20:00:00
Baltimore,,OTHER,MD,1957-10-07 22:00:00
Chesapeake,,DISK,OH,1957-07-13 09:00:00
Temple City,,LIGHT,CA,1957-07-15 12:00:00
Houston,,DIAMOND,TX,1957-07-15 13:00:00
Williamsport,,CIGAR,PA,1957-07-15 14:00:00
Long Beach,,DISK,CA,1957-07-15 15:00:00
Denver,,LIGHT,CO,1957-07-15 22:00:00
Kresgeville,,,PA,1957-07-15 22:00:00
Salt  Lake City,,DISK,UT,1957-07-15 22:00:00
Kansas City,RED,LIGHT,MO,1957-07-15 23:30:00
Arco,,DISK,ID,1957-01-08 12:00:00
Vandalia,,DISK,OH,1957-03-08 20:00:00
Bainbridge,,FIREBALL,MD,1957-04-08 02:00:00
Indianapolis,,LIGHT,IN,1957-07-08 01:00:00
San Diego,,DISK,CA,1957-09-08 00:30:00
Ticonderoga,,DISK,NY,1957-08-14 16:00:00
California,,FIREBALL,CA,1957-08-14 21:00:00
Longview,,TRIANGLE,WA,1957-08-15 01:00:00
Ludlow,,CIGAR,MA,1957-08-15 01:00:00
Exeter,,DISK,NH,1957-08-15 21:00:00
Auburn,,,MA,1957-08-15 21:30:00
Smith's Ferry,,DISK,ID,1957-08-16 21:30:00
Huntington,,TRIANGLE,IN,1957-08-17 23:00:00
Graham,,SPHERE,TX,1957-01-09 16:00:00
Brecksville,,CIRCLE,OH,1957-01-09 23:00:00
Los Gatos,,DISK,CA,1957-05-09 17:30:00
St. Paul,,DISK,MN,1957-10-09 19:15:00
El Paso,,DISK,TX,1957-09-15 04:00:00
Lake Jackson,,FIREBALL,TX,1957-09-15 21:30:00
Tacoma,,DISK,WA,1957-09-15 23:00:00
Hopkinsville,,CIGAR,KY,1957-09-20 00:00:00
Nelchina,,,AK,1957-01-10 16:00:00
Martelle,,CIGAR,IA,1957-01-10 20:30:00
Paterson,,DISK,NJ,1957-01-10 21:00:00
Northeast Cape AFS,,,AK,1957-01-10 22:00:00
St. Paul,,LIGHT,MN,1957-05-10 19:00:00
England,,DISK,AR,1957-10-15 01:45:00
New York City,,,NY,1957-10-15 02:00:00
Houston,,LIGHT,TX,1957-10-15 20:30:00
Commerce City,,FIREBALL,CO,1957-10-15 22:00:00
Teaneck,,CYLINDER,NJ,1957-10-11 17:00:00
Corpus Christi,,LIGHT,TX,1957-10-11 19:00:00
St Lawrence Island,,OTHER,AK,1957-10-11 20:00:00
Madison,,CIGAR,WI,1957-12-28 00:00:00
Madison,,CIGAR,WI,1957-12-28 00:00:00
Pep,,FIREBALL,TX,1958-01-01 22:00:00
Howell,,CIGAR,MI,1958-02-15 02:30:00
Winooski,,OVAL,VT,1958-04-17 21:30:00
Winooski,,OVAL,VT,1958-04-17 21:30:00
Palmer Park,,SPHERE,MD,1958-05-05 20:00:00
North Hollywood,,CIRCLE,CA,1958-07-05 10:00:00
Cincinnati,,DIAMOND,OH,1958-05-16 00:00:00
North Hollywood,,SPHERE,CA,1958-05-20 00:00:00
Middlesex,,CIRCLE,NC,1958-01-06 02:00:00
San Francisco,,OVAL,CA,1958-01-06 19:00:00
New York City,,OVAL,NY,1958-01-06 21:00:00
Timpson,,LIGHT,TX,1958-01-06 22:00:00
Grand Island,,CIRCLE,NE,1958-01-06 22:30:00
Cincinnati,,DIAMOND,OH,1958-06-06 09:30:00
Baldwin Park,,CIGAR,CA,1958-10-06 12:00:00
Florala ?,,DISK,AL,1958-06-15 00:00:00
Mountain View,,OTHER,MO,1958-06-15 00:00:00
Coffeyville,,CIGAR,KS,1958-06-15 15:00:00
Yonkers,,LIGHT,NY,1958-06-15 15:00:00
Menlo Park,,LIGHT,CA,1958-06-15 19:15:00
Houston,,DISK,TX,1958-06-15 20:00:00
Oklahoma,,LIGHT,OK,1958-06-15 22:00:00
